artist,song,lyrics
Incubus,hilikus,"About a hundred years ago now thought I was left for dead Soliloquy, she was my A picture, a wake, my metaphoric friend So then I fell in love with an irony named life It taught me this from that and A picture, a wake, you're gonna be hilikus  History has a tendency To block out the popular beliefs About the leaders of the time So glisten with my syllables and Ponder the thought Maybe they should have Had to dedicate more to it, go  You've got to be So good to be You've got to be hilikus  So I took a walk out side With my new found friend and the knowledge imbibe I figured I'd find another With the same attitude Yes, then maybe I could talk To someone other than myself  The doors are swinging wide open A positive attitude and the ilk in my pocket Had a lot to do with my new found friend The hilikus Sha ba da da, da bum dee dee dow ba dow Sha ba da la, da, dee dee dow dow!  History has a tendency To block out the popular beliefs About the leaders of the time So glisten with my syllables and Ponder the thought Maybe they should have had to dedicate more to it, go  You've got to be So good to be You've got to be hilikus You've got to be hilikus You've got to be hilikus You've got to be hilikus You've got to be hilikus So  History has a tendency To block out the popular beliefs About the leaders of the time So glisten with my syllables and Ponder the thought Maybe they should have had to dedicate more to it, go  You've got to be So good to be You've got to be hilikus You've got to be hilikus You've got to be hilikus You've got to be hilikus You've got to be hilikus So you've got to be hilikus You've got to be hilikus You've got to be hilikus You've got to be hilikus Yo"
Incubus,consequence,"Blink and you miss a beat, keep one of your eyes open at all times Think that you're on the brink, the shit hasn't even begun to hit the fan Consequence you'll see will be stranger than a gang of drunken mimes Situation has a stink, better clear the air before your son becomes a man Before your son becomes a man  A blink, every thing's been augmented, you've been left so far behind I think, for sure, next time you should wear a pair of eyes In the back  of your head Consequence you'll see will be stranger than sci-fi of any kind Situation baffles me, I guess it's true you too are one of the walking dead  You better think fast, think fast 'Cause you never know what's comin' around the bend You better not blink, don't blink For consequence is a bigger word than you think It's bigger than you or me, than you or me, you or me  You better think fast, think fast 'Cause you never know what's comin' around the bend You better not blink, don't blink For consequence is a bigger word than you think It's bigger than you or me, than you or me, you or me"
Taylor Swift,newyearday,"There's glitter on the floor after the party Girls carrying their shoes down in the lobby Candle wax and Polaroids on the hardwood floor You and me from the night before, but  Don't read the last page But I stay when you're lost, and I'm scared And you're turning away I want your midnights But I'll be cleaning up bottles with you on New Year's Day  You squeeze my hand three times in the back of the taxi I can tell that it's gonna be a long road I'll be there if you're the toast of the town, babe Or if you strike out and you're crawling home  Don't read the last page But I stay when it's hard, or it's wrong Or we're making mistakes I want your midnights But I'll be cleaning up bottles with you on New Year's Day  Hold on to the memories, they will hold on to you Hold on to the memories, they will hold on to you Hold on to the memories, they will hold on to you And I will hold on to you  Please don't ever become a stranger Whose laugh I could recognize anywhere Please don't ever become a stranger Whose laugh I could recognize anywhere  There's glitter on the floor after the party Girls carrying their shoes down in the lobby Candle wax and Polaroids on the hardwood floor You and me forevermore  Don't read the last page But I stay when it's hard, or it's wrong Or we're making mistakes I want your midnights But I'll be cleaning up bottles with you on New Year's Day  Hold on to the memories, they will hold on to you Hold on to the memories, they will hold on to you Hold on to the memories, they will hold on to you And I will hold on to you  Please don't ever become a stranger Whose laugh I could recognize anywhere Please don't ever become a stranger Whose laugh I could recognize anywhere"
Taylor Swift,ours,"Elevator buttons and morning air Strangers' silence makes me wanna take the stairs If you were here we'd laugh about their vacant stares But right now, my time is theirs  Seems like there's always someone who disapproves They'll judge it like they know about me and you And the verdict comes from those with nothing else to do The jury's out, but my choice is you  So don't you worry your pretty little mind People throw rocks at things that shine And life makes love look hard The stakes are high The water's rough But this love is ours  You never know what people have up their sleeves Ghosts from your past gonna jump out at me Lurking in the shadows with their lip gloss smiles But I don't care, cause right now you're mine  And you'll say don't you worry your pretty little mind People throw rocks at things that shine And life makes love look hard The stakes are high The waters rough But this love is ours  And it's not theirs to speculate If it's wrong and your hands are tough but they are where mine belong and I'll fight their doubt and give you faith with this song for you  Cause I love the gap between your teeth And I love the riddles that you speak And any snide remarks from my father about your tattoos will be ignored Cause my heart is yours  So don't you worry your pretty little mind People throw rocks at things that shine And life makes love look hard  So don't you worry your pretty little mind People throw rocks at things that shine But they can't take what's ours They can't take what's ours The stakes are high The waters rough But this love is ours"
Taylor Swift,idlie,"I don't think that passenger seat Has ever looked this good to me He tells me about his night And I count the colors in his eyes  He'll never fall in love he swears As he runs his fingers through his hair I'm laughing 'cause I hope he's wrong And I don't think it ever crossed his mind He tells a joke I fake a smile That I know all his favorite songs and  I could tell you his favorite colors green He loves to argue, born on the seventeenth His sister's beautiful, he has his father's eyes And if you ask me if I love him, I'd lie  He looks around the room Innocently overlooks the truth Shouldn't a light go on? Doesn't he know I've had him memorized for so long?  He sees everything black and white Never let nobody see him cry I don't let nobody see me wishing he was mine  I could tell you his favorite colors green He loves to argue, born on the seventeenth His sister's beautiful, he has his father's eyes And if you ask me if I love him, I'd lie  He stands there then walks away My God, if I could only say I'm holding every breathe for you  He'd never tell you but he can play guitar I think he can see through everything but my heart First thought when I wake up is, ""My god, he's beautiful"" So I put on my make up and pray for a miracle  Yes, I could tell you his favorite colors green He loves to argue oh and it kills me His sisters beautiful he has his father's eyes And if you asked me if I love him If you ask me if I love him, I'd lie"
Incubus,imissyou,"To see you when I wake up Is a gift I didn't think could be real To know that you feel the same as I do Is a three-fold, Utopian dream  You do something to me That I can't explain So would I be out of line If I said, ""I miss you""?  I see your picture, I smell your skin on The empty pillow next to mine You have only been gone ten days But already, I'm wasting away  I know I'll see you again Whether far or soon But I need you to know that I care And I miss you  Miss you"
Taylor Swift,missinvisible,"There's a girl Who sits under the bleachers Just another day eating alone And though she smiles There is something just hiding And she cant find a way to relate She just goes unnoticed As the crowd passes by And she'll pretend to be busy When inside she just wants to cry She'll say...  Take a little look at the life of Miss Always Invisible Look a little harder, I really really want you to put yourself in her shoes Take another look at the face of Miss Always Invisible Look a little closer and maybe then you will see why she waits for the day When you'll ask her her name  The beginning, in the first weeks of class She did everything to try and fit in But the others they couldn't seem to get past all the things that mismatched on the surface And she would close her eyes when they left and as she fell down the stairs And the more that they joked And the more that they screamed She retreated to where she is now And she'll sing...  Take a little look at the life of Miss Always Invisible Look a little harder I really, really want you to put yourself in her shoes, yeah, yeah Take a little look at the face of Miss Always Invisible Look a little closer and maybe then you will see why she waits for the day that you will ask her name  Then one day, just the same as the last Just, the days been in counting the time Came a boy, that sat under the bleachers just a little bit further behind..."
Incubus,friendslovers,"I'm a ne'er do well Running off black gold It's high time I pulled over And walked around a while  I've seen the porcelain shell Your exoskeleton And I feel like we'd walk well together  Because in the end We are friends and lovers  If asked of me, I would Gobble them to bits The things that wall us off From where we belong  What's wrong with you is good For what's wrong with me And I think maybe we should stick together  Because in the end We are friends and lovers We are friends and lovers  Abandon all the bones We've got to pick They'll only weigh us down And we're better than that  If they all throw stones Start a collection Of everything we're not and won't  Because you should never have to defend (Never have to defend) Being friends and lovers Being friends and lovers, oh Being friends and lovers"
Taylor Swift,dancingwithourhandstied,"I, I loved you in secret First sight, yeah, we love without reason Oh, twenty-five years old Oh, how were you to know, and My, my love had been frozen Deep blue, but you painted me golden Oh, and you held me close Oh, how was I to know? I  I could've spent forever with your hands in my pockets Picture of your face in an invisible locket You said there was nothing in the world that could stop it I had a bad feeling And darling, you had turned my bed into a sacred oasis People started talking, putting us through our paces I knew there was no one in the world who could take it I had a bad feeling  But we were dancing Dancing with our hands tied, hands tied Yeah, we were dancing Like it was the first time, first time Yeah, we were dancing Dancing with our hands tied, hands tied Yeah, we were dancing And I had a bad feeling But we were dancing  I, I loved you in spite of Deep fears that the world would divide us So, baby, can we dance Oh, through an avalanche? And say, say that we got it I'm a mess, but I'm the mess that you wanted Oh, 'cause it's gravity Oh, keeping you with me  I could've spent forever with your hands in my pockets Picture of your face in an invisible locket You said there was nothing in the world that could stop it I had a bad feeling  But we were dancing Dancing with our hands tied, hands tied Yeah, we were dancing Like it was the first time, first time Yeah, we were dancing Dancing with our hands tied, hands tied Yeah, we were dancing (Ooh, we had our hands tied) And I had a bad feeling But we were dancing  I'd kiss you as the lights went out Swaying as the room burned down I'd hold you as the water rushes in If I could dance with you again I'd kiss you as the lights went out Swaying as the room burned down I'd hold you as the water rushes in If I could dance with you again  Dancing with our hands tied, hands tied Yeah, we were dancing Like it was the first time, first time Yeah, we were dancing Dancing with our hands tied, hands tied Yeah, we were dancing And I had a bad feeling But we were dancing Hands tied, hands tied"
Taylor Swift,behindthescenes,"Oh, oh, oh Oh, oh, oh  You were in college, working part-time, waiting tables Left a small town, never looked back I was a flight risk, with a fear of fallin' Wondering why we bother with love, if it never lasts  I say, ""Can you believe it?"" As we're lyin' on the couch The moment, I can see it Yes, yes, I can see it now  Do you remember, we were sittin', there by the water? You put your arm around me for the first time You made a rebel of a careless man's careful daughter You are the best thing, that's ever been mine  Flash forward, and we're takin' on the world together And there's a drawer of my things at your place You learn my secrets and you figure out why I'm guarded You say we'll never make my parents' mistakes  And we got bills to pay We got nothin' figured out When it was hard to take Yes, yes This is what I thought about  Do you remember, we were sittin' there, by the water? You put your arm around me, for the first time You made a rebel of a careless man's careful daughter You are the best thing, that's ever been mine  Do you remember all the city lights on the water? You saw me start to believe, for the first time You made a rebel of a careless man's careful daughter You are the best thing, that's ever been mine  Oh, oh, oh, oh  And I remember that fight, two-thirty a.m. 'Cause everything was slipping right out of our hands I ran out, crying, and you followed me out into the street  Braced myself for the goodbye, 'Cause that's all I've ever known Then, you took me by surprise You said, ""I'll never leave you alone""  You said, ""I remember how we felt, sitting by the water. And every time I look at you, it's like the first time. I fell in love with a careless man's careful daughter. She is the best thing that's ever been mine.""  You made a rebel of a careless man's careful daughter You are the best thing, that's ever been mine  Do you believe it? We're gonna make it now And I can see it  (I can see it now)  Published by"
Taylor Swift,crazier,"I'd never gone with the wind Just let it flow Let it take me where it wants to go 'Til you opened the door And there's so much more I'd never seen it before I was trying to fly, but I couldn't find wings You came along and you changed everything  You lift my feet off the ground, spin me around You make me crazier, crazier Feels like I'm falling and I Am lost in your eyes, you make me crazier, crazier, crazier  I watched from a distance as you Made life your own Every sky was your own kind of blue and I wanted to know How that would feel and you made it so real You showed me something that I couldn't see You opened my eyes and you made me believe You lift my feet off the ground, spin me around  You make me crazier, crazier Feels like I'm falling and I Am lost in your eyes, you make me crazier, crazier, crazier oh oh... Baby, you showed me what living is for  I don't wanna hide anymore You lift my feet off the ground, spin me around You make me crazier, crazier Feels like I'm falling and I Am lost in your eyes, you make me crazier, crazier, crazier Crazier, crazier..."
Taylor Swift,safesound,"I remember tears streaming down your face when I said ""I'll never let you go"" When all those shadows almost killed your light I remember you said ""don't leave me here alone"" But all that's dead and gone and passed tonight  Just close your eyes The sun is going down You'll be alright No one can hurt you now Come mornign light You and I will be safe and sound  Don't you dare look out your window Darling everything's on fire The war outside our door keeps raging on Hold on to this lullaby Even when the music's gone Gone  Just close your eyes The sun is going down You'll be alright No one can hurt you Come morning light You and I will be safe and sound  Ooh, ooh, ooh, ooh Ooh,ooh,ooh,ooh O-oh, oh, o-oh, oh  Just close your eyes The sun is going down You'll be alright No one can hurt you now Come morning light You and I will be safe and sound"
Incubus,quicksand,Okay Now the monster is awake It won't Rest until there's nothing left  Maybe ever and none I forget about the pain Someone bending light comes along The flowers lean towards the sun  Some people fall in love and touch the sky Some people fall in love and find quicksand I hover somewhere in between I swear I can't make up my mind
Incubus,batheinmysnot,"Stones of thought the sleaper awakes Gone but a chioce which path will i take No longer my prison my key to the past I'll mention your sorrow now love will ever last  Love will ever last  Your voice on a thought now is your blood A chance for new life Now so close in your eye The same lies now renders my thought You belted me silly, now bathe in my snot!  Stones of thought the sleaper awakes Gone but a chioce which path will i take No longer my prison my key to the past I'll mention your sorrow now love will ever last  Love will ever last"
Taylor Swift,tellmewhy,"I took a chance, I took a shot And you might think I'm bulletproof but I'm not You took a swing, I took it hard And down here from the ground, I see who you are I'm sick and tired of your attitude I'm feeling like I don't know you You tell me that you love me then you cut me down  And I need you like a heartbeat But you know you got a mean streak Makes me run for cover when you're around And here's to you and your temper Yes, I remember what you said last night And I know that you see what you're doing to me  Tell me, why? You could write a book on how To ruin someone's perfect day Well, I get so confused and frustrated Forget what I'm trying to say, oh  I'm sick and tired of your reasons I got no one to believe in You tell me that you want me, then push me around And I need you like a heartbeat But you know you got a mean streak Makes me run for cover when you're around  Here's to you and your temper Yes, I remember what you said last night And I know that you see what you're doing to me  Tell me, why? Why do you have to make me feel small So you can feel whole inside? Why do you have to put down my dreams So you're the only thing on my mind? I'm sick and tired of your attitude I'm feeling like I don't know you  You tell me that you want me then cut me down I'm sick and tired of your reasons I've got no one to believe in You ask me for my love then you push me around Here's to you and your temper Yes, I remember what you said last night And I know that you see what you're doing to me Tell me, why? Why? Tell me, why? I take a step back, let you go I told you I'm not bulletproof Now you know"
Taylor Swift,dearjohn,"Long were the nights when my Days once revolved around you Counting my footsteps Prayin' the floor won't fall through, again My mother accused me of losing my mind But I swore I was fine  You paint me a blue sky And go back and turn it to rain And I lived in your chess game But you changed the rules every day Wonderin' which version of you I might get on the phone, tonight Well I stopped pickin' up And this song is to let you know why  Dear John I see it all now that you're gone Don't you think I was too young to be messed with? The girl in the dress cried the whole way home I should've known  Well maybe it's me And my blind optimism to blame Oh, maybe its you and your sick need To give love then take it away And you'll add my name to your long list of traitors Who don't understand And I'll look back in regret How I ignored when they said, ""Run as fast as you can!""  Dear John I see it all now that you're gone Don't you think I was too young to be messed with? The girl in the dress cried the whole way home  Dear John I see it all now it was wrong Don't you think nineteen's too young to be played by your dark twisted games? When I loved you so I should've known  You are an expert at sorry And keeping lines blurry And never impressed by me acing your tests All the girls that you run dry Have tired lifeless eyes 'Cause you burned them out But I took your matches Before fire could catch me So don't look now I'm shining like fireworks over your sad empty town Oh woah oh  Dear John I see it all now that you're gone Well, don't you think I was too young to be messed with? The girl in the dress cried the whole way home  I see all it now that you're gone Don't you think I was too young to be messed with? The girl in the dress wrote you a song You should've known Well, don't you think I was too young? You should've known"
Incubus,sinkbeneaththeline,"Solstice sun it sank beneath the line And the commoners were drunken upon the hillside, yeah Or so the story goes guess she followed along So she could watch their games  Sink beneath the line little girl Peak above the shrine them commoners were Sink beneath the line little girl Peak above the shrine them commoners were  Harvest moon it peaked above the shrine And the crawlers emerged multitudinous Silly girl she sat upon their doorway just poppin a squat That's when she felt the squirms  Sink beneath the line little girl Peak above the shrine them commoners were Sink beneath the line little girl Peak above the shrine them commoners were  All I know is that she wanted to be part of the crowd I could've told her she was welcome here, anywhere But instead she combed the outskirts lookin' inside And then she sat upon a bughill  This was when things started to get rough An army-o-de-pinchers climbed their creepy ways Right inside her 5 0 1 cut offs And her skin took on a hue of a chemical unknown to me that's right  They were biting her beneath the line She was a sitting on atop their shrine I wish I could've warned her  Sink beneath the line little girl Peak above the shrine Sink beneath the line little girl Peak above the shrine  She should've worn underpants"
Taylor Swift,breathless,"Where you are now* Fresh from your war Back from the edge of time And all that you were Stripped to the bone I thought you' d want to know  That when you feel the world is crashing All around your feet Come running headlong into my arms Breathless I'll never judge you I can only love you Come now running headlong Into my arms Breathless  Lay down your guns Too weak to run Nothing can harm you here Your precious heart Broken and scarred Somehow you made it through I only ask that you won't go again  When you feel the world is crashing All around your feet Come running headlong into my arms Breathless I'll never judge you I can only love you Come now running headlong Into my arms Breathless  I'm so glad to see you smiling So good to hear your laugh I think that you've found you even Missed yourself I'm only asking this because I think that Truth be told Oh, you'll never go again Again  When you feel the world is crashing All around your feet Come running headlong into my arms Breathless I'll never judge you I can only love you Come now running headlong Into my arms Breathless Breathless"
Taylor Swift,sweeterthanfictionfrom,"Hit the ground, hit the ground, hit the ground, oh, oh Only sound, only sound, that you hear is ""no"" You never saw it coming Slipped when you started running And now you've come undone, and I, I, I, I  Seen you fall, seen you crawl, on your knees, eh, eh Seen you lost in a crowd, seen your colors fade Wish I could make it better Someday you won't remember, This pain you thought would last forever and ever  There you'll stand, ten feet tall I will say, ""I knew it all along"" Your eyes, wider than distance This life is sweeter than fiction  Just a shot, just a shot, in the dark, oh, oh All you got, all you got, are your shattered hopes They never saw it coming You hit the ground running And now you're on to something I, I, I say  What a sight, what a sight, when the light came on Proved me right, proved me right, when you proved them wrong And in this perfect weather It's like we don't remember The rain we thought would last forever and ever  There you'll stand, ten feet tall I will say, ""I knew it all along"" Your eyes, wider than distance This life is sweeter than fiction  There you'll stand, next to me All at once, the rest is history Your eyes, wider than distance This life is sweeter than fiction (fiction)  I'll be one of the many saying Look at you now, look at you now, now I'll be one of the many saying You made us proud, you made us proud, proud  I'll be one of the many saying Look at you now, look at you now, now I'll be one of the many saying You made us proud, you made us proud, proud  And when they call your name And they put your picture in a frame You know that I'll be there time and again 'Cause I loved you when  When you hit the ground, hit the ground, hit the ground, oh oh Only sound, only sound that you heard was ""no"" Now in this perfect weather It's like we don't remember The rain we thought would last forever and ever (forever)  There you'll stand, ten feet tall I will say, ""I knew it all along"" Your eyes, wider than distance This life is sweeter than fiction  There you'll stand, next to me All at once, the rest is history Your eyes, wider than distance This life is sweeter than fiction, fiction  Sweeter than fiction, It's sweeter, yeah, It's sweeter, it's sweeter, Sweeter than fiction"
Taylor Swift,youranything,I betchya lie awake at night Tryin to make up your sweet mind Wonderin if you'll ever find Just what you want A home-town number one Or a california loaded gun But you know you only get one Or that's what you thought But here's what you've got  I could be your favorite blue jeans With the holes in the knees In the bottom of the top drawer I could be your little beauty queen Just a little outta reach Or the girl livin next door I'll be your angel givin up her wings If that's whatchya need I'd give everything to be your anything  If you want hard to get If you want... All you have to do is let me know If you want a bumpy ride Or someone with a softer side Either one'll be alright Just let me know Cause this is where it goes  I could be your favorite blue jeans With the holes in the knees In the bottom of the top drawer I could be your little beauty queen Just a little outta reach Or the girl livin next door I'll be your angel givin up her wings If that's whatchya need I'd give everything to be your anything  It's not like I'm givin up who I am for you But for someone like you it's just so easy to do  I could be your favorite blue jeans With the holes in the knees In the bottom of the top drawer I could be your little beauty queen Just a little outta reach Or the girl livin next door I'll be your angel givin up her wings If that's whatchya need  If that's whatchya need I could be your favorite blue jeans With the holes in the knees In the bottom of the top drawer I could be your little beauty queen Just a little outta reach Or the girl livin next door I'll be your angel givin up her wings If that's whatchya need I'd give everything to be your anything
